id,text,topic,source
wiki_001,"Machine learning is a branch of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed. It focuses on developing computer programs that can access data and use it to learn for themselves. The process begins with observations or data, such as examples, direct experience, or instruction, so that computers can learn to look for patterns in data and make better decisions in the future.",Technology,Wikipedia (simulated)
wiki_002,"The Python programming language was created by Guido van Rossum and first released in 1991. Python's design philosophy emphasizes code readability and its syntax allows programmers to express concepts in fewer lines of code than would be possible in languages such as C++ or Java. Python supports multiple programming paradigms, including structured, object-oriented, and functional programming.",Technology,Wikipedia (simulated)
wiki_003,"Quantum computing harnesses the phenomena of quantum mechanics to deliver a huge leap forward in computation. Quantum computers use quantum bits, or qubits, which can exist in multiple states simultaneously due to superposition. This allows quantum computers to process a massive number of calculations simultaneously, potentially solving problems that would take classical computers millions of years.",Technology,Wikipedia (simulated)
wiki_004,"The Internet of Things (IoT) describes physical objects with sensors, processing ability, software and other technologies that connect and exchange data with other devices and systems over the Internet. The field has evolved due to convergence of multiple technologies, including ubiquitous computing, commodity sensors, increasingly powerful embedded systems, and machine learning.",Technology,Wikipedia (simulated)
wiki_005,"Blockchain is a system of recording information in a way that makes it difficult or impossible to change, hack, or cheat the system. A blockchain is essentially a digital ledger of transactions that is duplicated and distributed across the entire network of computer systems on the blockchain. Each block in the chain contains a number of transactions, and every time a new transaction occurs, a record of that transaction is added to every participant's ledger.",Technology,Wikipedia (simulated)
wiki_006,"Artificial neural networks are computing systems inspired by biological neural networks that constitute animal brains. These systems learn to perform tasks by considering examples, generally without being programmed with task-specific rules. They consist of layers of interconnected nodes or neurons that process information using connectionist approaches to computation.",Technology,Wikipedia (simulated)
wiki_007,"CRISPR-Cas9 is a genome editing tool that has revolutionized molecular biology. The technology works by using a guide RNA to direct the Cas9 enzyme to a specific location in the genome, where it cuts both strands of DNA. Scientists can then use the cell's own repair mechanisms to add, delete, or alter genetic sequences at that location, opening up new possibilities for treating genetic diseases.",Science,Wikipedia (simulated)
wiki_008,"5G is the fifth generation technology standard for broadband cellular networks, which cellular phone companies began deploying worldwide in 2019. It is the planned successor to the 4G networks which provide connectivity to most current cellphones. 5G networks are predicted to have more than 1.7 billion subscribers worldwide by 2025, according to the GSM Association.",Technology,Wikipedia (simulated)
wiki_009,"Dark matter is a hypothetical form of matter thought to account for approximately 85% of the matter in the universe. It does not appear to interact with the electromagnetic field, which means it does not absorb, reflect, or emit electromagnetic radiation and is, therefore, difficult to detect. Its existence and properties are inferred from its gravitational effects on visible matter and the cosmic microwave background.",Science,Wikipedia (simulated)
wiki_010,"The Human Genome Project was an international scientific research project with the goal of determining the base pairs that make up human DNA, and of identifying and mapping all of the genes of the human genome from both a physical and a functional standpoint. It was the world's largest collaborative biological project, with analysis of the data continuing to this day.",Science,Wikipedia (simulated)
wiki_011,"Climate change refers to long-term shifts in temperatures and weather patterns. These shifts may be natural, but since the 1800s, human activities have been the main driver of climate change, primarily due to the burning of fossil fuels like coal, oil, and gas. Burning fossil fuels generates greenhouse gas emissions that act like a blanket wrapped around the Earth, trapping the sun's heat and raising temperatures.",Environment,Wikipedia (simulated)
wiki_012,"Deforestation is the permanent removal of trees to make room for something besides forest. This can include clearing the land for agriculture or grazing, or using the timber for fuel, manufacturing, or construction. Deforestation contributes to climate change by reducing the amount of CO2 absorbed from the atmosphere and by releasing the carbon stored in the trees.",Environment,Wikipedia (simulated)
wiki_013,"Solar energy is radiant light and heat from the Sun that is harnessed using a range of technologies such as solar power to generate electricity, solar thermal energy, and solar architecture. It is an important source of renewable energy and its technologies are broadly characterized as either passive solar or active solar depending on how they capture and distribute solar energy.",Environment,Wikipedia (simulated)
wiki_014,"The Amazon rainforest, also known as Amazonia, is a moist broadleaf tropical rainforest in the Amazon biome that covers most of the Amazon basin of South America. It represents over half of the planet's remaining rainforests and comprises the largest and most biodiverse tract of tropical rainforest in the world, with an estimated 390 billion individual trees divided into 16,000 species.",Environment,Wikipedia (simulated)
wiki_015,"Ocean acidification is the ongoing decrease in the pH of Earth's oceans, caused by the absorption of carbon dioxide from the atmosphere. Seawater is slightly basic, and the process in question is a shift towards the acidic end of the pH scale. Ocean acidification threatens marine ecosystems by affecting the ability of shellfish and corals to form their calcium carbonate shells and skeletons.",Environment,Wikipedia (simulated)
wiki_016,"Wind energy is the use of wind to provide mechanical power through wind turbines to turn electric generators for electrical power. Wind is a plentiful, renewable, widely distributed, clean, produces no greenhouse gas emissions during operation, consumes no water, and uses little land. The net effects on the environment are far less problematic than those of fossil fuel sources.",Environment,Wikipedia (simulated)
wiki_017,"Permafrost is any ground that remains completely frozen at 0 °C or below for at least two years. It is found in the Arctic, Antarctic, and high mountain regions. As global temperatures rise, permafrost is thawing, which releases large amounts of carbon dioxide and methane into the atmosphere, further accelerating climate change in a dangerous feedback loop.",Environment,Wikipedia (simulated)
wiki_018,"The Renaissance was a period of European cultural, artistic, political, and scientific rebirth after the Middle Ages. Generally described as taking place from the 14th century to the 17th century, the Renaissance promoted the rediscovery of classical philosophy, literature, and art. Some of the greatest thinkers, authors, statesmen, scientists, and artists in human history thrived during this era.",History,Wikipedia (simulated)
wiki_019,"The Industrial Revolution was the transition to new manufacturing processes in Great Britain, continental Europe, and the United States, that occurred during the period from around 1760 to about 1820–1840. This transition included going from hand production methods to machines, new chemical manufacturing and iron production processes, the increasing use of steam power and water power, and the development of machine tools.",History,Wikipedia (simulated)
wiki_020,"The United Nations is an intergovernmental organization whose stated purposes are to maintain international peace and security, develop friendly relations among nations, achieve international cooperation, and serve as a centre for harmonizing the actions of nations. It is headquartered in New York City, and has additional main offices in Geneva, Nairobi, Vienna, and The Hague.",Politics,Wikipedia (simulated)
wiki_021,"The Cold War was a period of geopolitical tension between the United States and the Soviet Union and their respective allies, the Western Bloc and the Eastern Bloc, that began following World War II. Historians disagree on its exact dates, but the period is generally considered to span from 1947 to 1991. The term cold war is used because there was no large-scale fighting directly between the two superpowers.",History,Wikipedia (simulated)
wiki_022,"Globalization is the process of interaction and integration among people, companies, and governments worldwide. Globalization has accelerated since the 18th century due to advances in transportation and communication technology. This increase in global interactions has caused a growth in international trade and exchange of ideas, beliefs, and culture.",Economics,Wikipedia (simulated)
wiki_023,"Democracy is a form of government in which the people have the authority to deliberate and decide legislation, or to choose governing officials to do so. The definition of democracy has varied considerably, but the core features are competitive elections, freedom of speech and the press, the rule of law, and protection of minority rights.",Politics,Wikipedia (simulated)
wiki_024,"The Silk Road was a network of trade routes connecting China and the Far East with the Middle East and Europe. Established when the Han Dynasty officially opened trade with the West in 130 BCE, the Silk Road routes remained in use until 1453 CE, when the Ottoman Empire boycotted trade with China and closed them.",History,Wikipedia (simulated)
wiki_025,"Vaccines are biological preparations that provide active acquired immunity to a particular infectious disease. A vaccine typically contains an agent that resembles a disease-causing microorganism and is often made from weakened or killed forms of the microbe, its toxins, or one of its surface proteins. The agent stimulates the body's immune system to recognize the agent as a threat and prepare to fight future infections.",Health,Wikipedia (simulated)
wiki_026,"Antibiotic resistance occurs when bacteria change in response to the use of antibiotics in a way that makes them harder or impossible to kill. These bacteria may infect humans and animals, and the infections they cause are harder to treat than those caused by non-resistant bacteria. Antibiotic resistance leads to higher medical costs, prolonged hospital stays, and increased mortality.",Health,Wikipedia (simulated)
wiki_027,"The human microbiome consists of all the microorganisms living in association with the human body. These communities consist of a variety of microorganisms including eukaryotes, archaea, bacteria, and viruses. The microbiome plays a crucial role in human health and disease, influencing everything from digestion and immunity to mental health and behavior.",Health,Wikipedia (simulated)
wiki_028,"Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices. Mental health is important at every stage of life, from childhood and adolescence through adulthood. Conditions like depression and anxiety affect millions of people worldwide.",Health,Wikipedia (simulated)
wiki_029,"Alzheimer's disease is a neurodegenerative disease that usually starts slowly and progressively worsens. It is the cause of 60–70% of cases of dementia. The most common early symptom is difficulty in remembering recent events. As the disease advances, symptoms can include problems with language, disorientation, mood swings, loss of motivation, self-neglect, and behavioral issues.",Health,Wikipedia (simulated)
wiki_030,Stem cells are cells that have the potential to develop into many different types of cells in the body. They serve as a sort of repair system for the body. There are two main types of stem cells: embryonic stem cells and adult stem cells. Stem cell therapy has the potential to revolutionize medicine by providing treatments for a wide range of diseases and injuries.,Health,Wikipedia (simulated)
wiki_031,"The immune system is a network of biological processes that protects an organism from diseases. It detects and responds to a wide variety of pathogens, from viruses to parasitic worms, as well as cancer cells and objects such as wood splinters, distinguishing them from the organism's own healthy tissue. Disorders of the immune system can result in autoimmune diseases, inflammatory diseases, and cancer.",Health,Wikipedia (simulated)
wiki_032,"The James Webb Space Telescope is a space telescope designed to conduct infrared astronomy. Its high-resolution and high-sensitivity instruments allow it to view objects too old, distant, or faint for the Hubble Space Telescope. This has enabled investigations across many fields of astronomy and cosmology, such as observation of the first stars and galaxy formation after the Big Bang.",Space,Wikipedia (simulated)
wiki_033,"Mars is the fourth planet from the Sun and the second-smallest planet in the Solar System, being larger than only Mercury. In English, Mars carries the name of the Roman god of war and is often called the Red Planet. Mars is a terrestrial planet with a thin atmosphere. The surface of Mars is covered with dust and rocks, and has impact craters, volcanoes, valleys, deserts, and polar ice caps.",Space,Wikipedia (simulated)
wiki_034,"Black holes are regions of spacetime where gravity is so strong that nothing, not even light or other electromagnetic waves, has enough speed to escape the event horizon. Albert Einstein's general theory of relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole. The boundary of no escape is called the event horizon.",Space,Wikipedia (simulated)
wiki_035,"The International Space Station is a modular space station in low Earth orbit. It is a multinational collaborative project involving five participating space agencies: NASA, Roscosmos, JAXA, ESA, and CSA. The ownership and use of the space station is established by intergovernmental treaties and agreements, with the station serving as a microgravity and space environment research laboratory.",Space,Wikipedia (simulated)
wiki_036,"The Milky Way is the galaxy that includes the Solar System, with the name describing the galaxy's appearance from Earth: a hazy band of light seen in the night sky formed from stars that cannot be individually distinguished by the naked eye. The term Milky Way is a translation of the Latin via lactea. It is a barred spiral galaxy with an estimated visible diameter of 100,000–200,000 light-years.",Space,Wikipedia (simulated)
wiki_037,"Exoplanets are planets beyond our own solar system. Thousands have been discovered in the past two decades, mostly with NASA's Kepler Space Telescope. These worlds come in a huge variety of sizes and orbits. Some are gigantic planets hugging close to their parent stars; others are icy, some rocky. NASA and other agencies are looking for a special kind of planet: one that's the same size as Earth.",Space,Wikipedia (simulated)
wiki_038,"Cryptocurrency is a digital currency in which transactions are verified and records maintained by a decentralized system using cryptography, rather than by a centralized authority. Bitcoin, first released as open-source software in 2009, is the first decentralized cryptocurrency. Since the release of bitcoin, many other cryptocurrencies have been created.",Economics,Wikipedia (simulated)
wiki_039,"Inflation is a general increase in prices and fall in the purchasing value of money. It is measured as the rate of change of those prices. Economists define inflation as the rate of change in the price level over time. High inflation depletes the purchasing power of money and can lead to economic instability, while moderate inflation is considered a sign of a healthy, growing economy.",Economics,Wikipedia (simulated)
wiki_040,"Supply chain management is the management of the flow of goods and services, between businesses and locations, and includes all processes that transform raw materials into final products. It involves the active streamlining of a business's supply-side activities to maximize customer value and gain a competitive advantage in the marketplace.",Economics,Wikipedia (simulated)
wiki_041,"Venture capital is a form of private equity financing that is provided by venture capital firms or funds to startups, early-stage, and emerging companies that have been deemed to have high growth potential or which have demonstrated high growth. Venture capital firms or funds invest in these early-stage companies in exchange for equity, or an ownership stake.",Economics,Wikipedia (simulated)
wiki_042,"The stock market refers to the collection of markets and exchanges where regular activities of buying, selling, and issuance of shares of publicly-held companies take place. Such financial activities are conducted through institutionalized formal exchanges or over-the-counter (OTC) marketplaces which operate under a defined set of regulations.",Economics,Wikipedia (simulated)
wiki_043,"Gross domestic product (GDP) is a monetary measure of the market value of all the final goods and services produced and sold in a specific time period by a country or countries. GDP is commonly used as an indicator of the economic health of a country, as well as to gauge a country's standard of living.",Economics,Wikipedia (simulated)
wiki_044,"Jazz is a music genre that originated in the African-American communities of New Orleans, Louisiana in the late 19th and early 20th centuries, with its roots in blues, ragtime, and European harmony. Since the 1920s Jazz Age, it has been recognized as a major form of musical expression in traditional and popular music. Jazz is characterized by swing and blue notes, complex chords, call and response vocals, polyrhythms, and improvisation.",Culture,Wikipedia (simulated)
wiki_045,"The cinema of Hollywood refers to a geographical region and a historical era in American cinema. Hollywood became the pre-eminent center of filmmaking in the early 20th century, producing films that have shaped global culture and entertainment. The Hollywood star system and the studio system created the modern concept of celebrity as we know it today.",Culture,Wikipedia (simulated)
wiki_046,"Abstract expressionism is a post–World War II art movement in American painting, developed in New York City in the 1940s. It was the first specifically American movement to achieve international influence and put New York City at the center of the Western art world, a role formerly held by Paris. Artists associated with this movement include Jackson Pollock, Mark Rothko, and Willem de Kooning.",Culture,Wikipedia (simulated)
wiki_047,"Literature refers to written works, especially those considered of superior or lasting artistic merit. The term has traditionally been applied to those imaginative works of poetry and prose distinguished by the intentions of their authors and the perceived aesthetic excellence of their execution. Literature can be classified according to whether it is fiction or non-fiction.",Culture,Wikipedia (simulated)
wiki_048,"Architecture is the art and technique of designing and building, as distinguished from the skills associated with construction. The practice of architecture is employed to fulfill both practical and expressive requirements, and thus it serves both utilitarian and aesthetic ends. Notable architectural styles include Gothic, Baroque, Art Nouveau, Modernism, and contemporary sustainable architecture.",Culture,Wikipedia (simulated)
wiki_049,"Stoicism is a school of Hellenistic philosophy founded by Zeno of Citium in Athens in the early 3rd century BCE. The Stoics believed that the practice of virtue, the highest good, is sufficient to achieve eudaimonia (happiness), a well-lived life. Stoics identified the path to achieving this with a life spent practicing the four virtues: wisdom, justice, courage, and temperance.",Philosophy,Wikipedia (simulated)
wiki_050,"Buddhism is an Indian religion or philosophical tradition based on teachings attributed to Gautama Buddha. It originated in ancient India as a Sramana tradition sometime between the 6th and 4th centuries BCE, spreading through much of Asia. Buddhism encompasses a variety of traditions, beliefs, and spiritual practices largely based on the Buddha's teachings and resulting interpreted philosophies.",Philosophy,Wikipedia (simulated)
wiki_051,"Ethics is the philosophical study of moral phenomena. It investigates normative questions about what people ought to do or what kind of person they should be. Questions in moral philosophy include: What are the foundations of moral reasoning? What is the right thing to do? What constitutes a good life? Subfields include normative ethics, applied ethics, and metaethics.",Philosophy,Wikipedia (simulated)
wiki_052,"Existentialism is a form of philosophical inquiry that explores the problem of human existence and centers on the experience of thinking, feeling, and acting. Existentialist philosophers explore questions relating to the meaning, purpose, and value of human existence. Common themes addressed include existential crisis, dread, and anxiety in the face of an apparently meaningless or absurd world.",Philosophy,Wikipedia (simulated)
wiki_053,"Evolution is change in the heritable characteristics of biological populations over successive generations. These characteristics are the expressions of genes that are passed on from parent to offspring during reproduction. Different characteristics tend to exist within any given population as a result of mutation, genetic recombination, and other sources of genetic variation.",Biology,Wikipedia (simulated)
wiki_054,"Photosynthesis is a process used by plants and other organisms to convert light energy into chemical energy that can be stored and later released to fuel the organism's activities. This process is vital for maintaining Earth's atmospheric oxygen levels and for removing carbon dioxide from the atmosphere, making it a critical component of the global carbon cycle.",Biology,Wikipedia (simulated)
wiki_055,"The ocean covers more than 70 percent of Earth's surface. It is home to an incredible variety of life, from microscopic plankton to the largest animals on Earth. The ocean plays a crucial role in regulating climate by absorbing heat and carbon dioxide. Despite its importance, much of the deep ocean remains unexplored and mysterious to scientists.",Biology,Wikipedia (simulated)
